"participant","session","run","collisions","duration","distance","cumrun","fluency","absorption","flow","pi1","pi2","pi3","comp1","comp2","comp3"
"04",6,5,19,176.416829063791,24197.6979999992,30,4,4,4,5,3,4,4,4,4
"04",7,1,26,215.311726149609,24197.9055999993,31,2.25,4,3.22222222222222,4,3,5,NA,NA,NA
"04",7,2,20,196.173474388331,24198.7843999994,32,3,4.6,3.88888888888889,6,3,4,NA,NA,NA
"04",7,3,19,202.690042442305,24196.5251999997,33,3,4,3.55555555555556,4,4,4,NA,NA,NA
"04",7,4,16,179.873144368203,24196.9491999996,34,3.75,4,3.88888888888889,4,3,3,NA,NA,NA
"04",7,5,16,174.778842140372,24196.9223999993,35,4.5,4.4,4.44444444444444,4,2,2,3,4,4
"04",8,1,16,182.614253510605,24196.7492000002,36,4.75,4.2,4.44444444444444,5,5,3,NA,NA,NA
"04",8,2,21,169.430845051605,24196.8171999984,37,5,4.4,4.66666666666667,5,5,3,NA,NA,NA
"04",8,3,15,172.54988843302,24196.7247999988,38,5.25,4.8,5,5,5,3,NA,NA,NA
"04",8,4,15,180.381699260674,24198.6636000005,39,4.25,4.4,4.33333333333333,5,5,3,NA,NA,NA
"04",8,5,17,176.749045731734,24198.6447999995,40,5,4.8,4.88888888888889,6,5,2,3,5,4
"05",1,1,23,194.104407977055,24196.5987999989,1,4.25,5.4,4.88888888888889,6,4,3,NA,NA,NA
"05",1,2,18,192.344103615109,24196.9924000001,2,4.75,5.6,5.22222222222222,6,4,3,NA,NA,NA
"05",1,3,11,187.412747186195,24197.5263999999,3,5.75,6.4,6.11111111111111,5,5,5,NA,NA,NA
"05",1,4,17,196.969158837946,24197.3640000002,4,2.75,5,4,5,3,5,NA,NA,NA
"05",1,5,14,187.596858174101,24198.6788000009,5,5,6.4,5.77777777777778,6,5,5,5,4,4
"05",2,1,13,189.696634799179,24198.1999999996,6,3.75,4.4,4.11111111111111,6,5,5,NA,NA,NA
"05",2,2,19,193.81018990786,24196.4192,7,3,3.8,3.44444444444444,6,5,5,NA,NA,NA
"05",2,3,18,174.237542081467,24196.5007999995,8,5.5,5.8,5.66666666666667,5,4,3,NA,NA,NA
"05",2,4,14,185.368373266029,24199.0936000005,9,4.75,5.8,5.33333333333333,6,5,4,NA,NA,NA
"05",2,5,16,173.119190514457,24197.0915999988,10,5.5,6.4,6,6,5,3,5,4,4
"05",3,1,13,179.914638743037,24198.7532000002,11,5.75,5.4,5.55555555555556,6,4,4,NA,NA,NA
"05",3,2,13,176.195748552749,24197.7119999996,12,5.5,6.2,5.88888888888889,6,5,5,NA,NA,NA
"05",3,3,14,165.906016430789,24197.1595999991,13,6.25,6.2,6.22222222222222,6,6,4,NA,NA,NA
"05",3,4,12,171.351870309111,24197.1679999984,14,6,6.8,6.44444444444444,7,5,3,NA,NA,NA
"05",3,5,12,172.233837888339,24199.3691999994,15,5.75,5.6,5.66666666666667,7,6,5,6,5,4
"05",4,1,11,175.469982526165,24196.623599999,16,5,6,5.55555555555556,6,4,3,NA,NA,NA
"05",4,2,16,177.339330318384,24198.3799999994,17,3.25,5,4.22222222222222,4,3,4,NA,NA,NA
"05",4,3,9,171.943735811804,24198.4283999992,18,5.5,6,5.77777777777778,6,5,3,NA,NA,NA
"05",4,4,12,179.927215760048,24198.2307999997,19,5.25,6.2,5.77777777777778,5,5,5,NA,NA,NA
"05",4,5,11,173.064962583758,24198.6307999991,20,5.5,6.2,5.88888888888889,6,6,5,6,5,5
"05",5,1,12,171.642852249252,24198.8131999989,21,5.25,5.8,5.55555555555556,6,6,5,NA,NA,NA
"05",5,2,12,176.548897578801,24198.4571999995,22,4.25,5.2,4.77777777777778,6,5,5,NA,NA,NA
"05",5,3,8,162.899600713192,24198.0219999998,23,6.25,6.6,6.44444444444444,6,6,4,NA,NA,NA
"05",5,4,6,167.854399408226,24197.2511999995,24,6.25,7,6.66666666666667,7,6,4,NA,NA,NA
"05",5,5,11,168.008810787497,24198.4627999987,25,4.75,5.2,5,6,6,5,6,6,4
"05",6,1,9,164.096084402781,24196.7543999999,26,6,6.2,6.11111111111111,6,5,4,NA,NA,NA
"05",6,2,17,183.335213751024,24197.1399999997,27,2.5,3.4,3,4,4,5,NA,NA,NA
"05",6,3,14,176.224314780849,24198.3403999995,28,3.25,4.2,3.77777777777778,6,4,5,NA,NA,NA
"05",6,4,7,169.293274942699,24198.5983999993,29,5.5,5.8,5.66666666666667,6,5,4,NA,NA,NA
"05",6,5,12,168.290230255675,24199.0879999993,30,5.25,5.8,5.55555555555556,6,6,5,6,5,4
"05",7,1,13,167.413477076594,24197.0535999991,31,5.5,5.8,5.66666666666667,6,6,5,NA,NA,NA
"05",7,2,7,168.331544832079,24197.5731999994,32,6,5.8,5.88888888888889,6,5,6,NA,NA,NA
"05",7,3,8,166.241123159608,24199.105999999,33,6,6.4,6.22222222222222,7,6,4,NA,NA,NA
"05",7,4,12,167.618406308606,24198.4227999997,34,5,5.2,5.11111111111111,6,6,6,NA,NA,NA
"05",7,5,8,165.872767807075,24198.7615999993,35,6,6.8,6.44444444444444,7,6,5,6,6,5
"05",8,1,15,163.37979844279,24198.3991999998,36,5.25,6.4,5.88888888888889,7,6,5,NA,NA,NA
"05",8,2,14,174.780981162069,24197.4711999986,37,3.25,4.6,4,6,6,6,NA,NA,NA
"05",8,3,9,175.427456348979,24199.142399999,38,4.25,5.6,5,6,3,3,NA,NA,NA
